4	1	12	0.694	0.957	0.613	0.957	1.0000	0.9572	1.0000	0.9572
4	2	5	0.972	0.978	0.965	0.978	0.9473	0.9776	0.9329	0.9776
4	2	6	0.956	0.975	0.948	0.975	0.9495	0.9754	0.9257	0.9754
4	2	7	0.955	0.974	0.939	0.974	0.9248	0.9736	0.8907	0.9736
4	2	8	0.941	0.973	0.919	0.973	0.8908	0.9732	0.8289	0.9732
4	2	9	0.918	0.973	0.892	0.973	0.9409	0.9733	0.9022	0.9733
4	2	10	0.882	0.973	0.849	0.973	0.9938	0.9733	0.9900	0.9733
4	2	11	0.848	0.973	0.816	0.973	0.9997	0.9733	1.0000	0.9733
4	2	12	0.768	0.973	0.688	0.973	0.9998	0.9733	1.0000	0.9733
4	3	3	0.988	0.986	0.988	0.986	0.9986	0.9856	0.9984	0.9856
4	3	4	0.986	0.984	0.984	0.984	0.9758	0.9841	0.9697	0.9841
4	3	5	0.982	0.983	0.977	0.983	0.9626	0.9831	0.9517	0.9831
4	3	6	0.975	0.983	0.974	0.983	0.9684	0.9831	0.9584	0.9831
4	3	7	0.970	0.983	0.964	0.983	0.9549	0.9831	0.9386	0.9831
4	3	8	0.959	0.983	0.953	0.983	0.9348	0.9831	0.9072	0.9831
4	3	9	0.943	0.983	0.933	0.983	0.9562	0.9831	0.9322	0.9831
4	3	10	0.918	0.983	0.902	0.983	0.9982	0.9831	0.9970	0.9831
4	3	11	0.880	0.983	0.858	0.983	1.0000	0.9831	1.0000	0.9831
4	3	12	0.796	0.983	0.772	0.983	1.0000	0.9829	1.0000	0.9829
4	4	1	0.995	0.991	0.995	0.991	0.9999	0.9911	1.0000	0.9911
4	4	2	0.993	0.990	0.993	0.990	0.9999	0.9900	0.9999	0.9900
4	4	3	0.992	0.990	0.991	0.990	0.9992	0.9899	0.9991	0.9899
4	4	4	0.990	0.990	0.990	0.990	0.9845	0.9899	0.9794	0.9899
4	4	5	0.987	0.990	0.987	0.990	0.9792	0.9899	0.9706	0.9899
4	4	6	0.984	0.990	0.984	0.990	0.9837	0.9898	0.9785	0.9898
4	4	7	0.979	0.990	0.977	0.990	0.9747	0.9895	0.9629	0.9895
4	4	8	0.971	0.989	0.967	0.989	0.9531	0.9892	0.9307	0.9892
4	4	9	0.959	0.989	0.949	0.989	0.9676	0.9888	0.9469	0.9888
4	4	10	0.941	0.988	0.928	0.988	0.9997	0.9884	0.9987	0.9884
4	4	11	0.908	0.988	0.899	0.988	1.0000	0.9880	1.0000	0.9880
4	4	12	0.774	0.986	0.791	0.986	0.9995	0.9862	1.0000	0.9862
4	5	1	0.996	0.993	0.996	0.993	0.9999	0.9928	1.0000	0.9928
4	5	2	0.995	0.993	0.995	0.993	0.9999	0.9928	0.9999	0.9928
4	5	3	0.994	0.993	0.994	0.993	0.9996	0.9928	0.9996	0.9928
4	5	4	0.992	0.993	0.992	0.993	0.9903	0.9925	0.9875	0.9925
4	5	5	0.991	0.992	0.990	0.992	0.9859	0.9922	0.9823	0.9922
5	1	8	0.932	0.976	0.936	0.976	0.9196	0.9757	0.8581	0.9757
5	1	9	0.919	0.974	0.905	0.974	0.9485	0.9737	0.9030	0.9737
5	1	10	0.880	0.972	0.846	0.972	0.9916	0.9722	0.9737	0.9722
5	1	11	0.849	0.971	0.811	0.971	0.9992	0.9709	0.9979	0.9709
5	1	12	0.770	0.969	0.665	0.969	0.9998	0.9694	0.9995	0.9694
5	2	5	0.980	0.984	0.983	0.984	0.9620	0.9842	0.9527	0.9842
5	2	6	0.980	0.983	0.973	0.983	0.9712	0.9831	0.9496	0.9831
5	2	7	0.971	0.982	0.972	0.982	0.9562	0.9821	0.9226	0.9821
5	2	8	0.960	0.982	0.951	0.982	0.9378	0.9819	0.9014	0.9819
